,latin_maxim,translation,description
760,Laudator Temporis Acti,praiser of time past,"One who is discontent with the present but instead prefers things of the past. See ""the Good old days""."
761,Laudetur Jesus Christus,Praise (Be) Jesus Christ,"Often used as a salutation, but also used after prayers or the reading of the gospel."
762,laus Deo,praise be to God,"This is written on the East side at the peak of the Washington Monument in Washington, D.C."
763,lectori salutem,greetings reader,"Often abbreviated to L.S., used as opening words for a letter."
764,lege artis,according to the law of the art,"Describes something genuine, true, real, tested, proven, not assumed, not placebo. Used especially in a medical context. The 'art' referred to in the phrase is medicine."
765,legem terrae,the law of the land,
766,"leges humanae nascuntur, vivunt, et moriuntur","laws of man are born, live and die",
767,leges sine moribus vanae,laws without morals [are] vain,From Horace's Odes: the official motto of the University of Pennsylvania.
768,legitime,lawfully,"A legal term describing a ""forced share"", the portion of a deceased person's estate from which the immediate family cannot be disinherited. From the French h?ritier legitime (rightful heir)."
769,lex artis,law of the skill,The rules that regulate a professional duty.
770,"lex orandi, lex credendi",the law of prayer is the law of faith,
771,lex dei vitae lampas,the law of God is the lamp of life,"Motto of the Presbyterian Ladies' College, Melbourne"
772,lex ferenda,the law that should be borne,The law as it ought to be.
773,lex hac edictali,the law here proclaims,The rule whereby a spouse cannot by deed inter vivos or bequeath by testament to his or her second spouse more than the amount of the smallest portion given or bequeathed to any child.
774,lex in casu,law in the event,A law that only concerns one particular case.
775,lex lata,the law that has been borne,The law as it is.
776,lex loci,law of the place,
777,lex non scripta,law that has not been written,"Unwritten law, or common law."
778,lex parsimoniae,law of succinctness,also known as Ockhams Razor.
779,lex rex,the law [is] king,"A principle of government advocating a rule by law rather than by men. The phrase originated as a double entendre in the title of Samuel Rutherford's controversial book Lex, Rex (1644), which espoused a theory of limited government and constitutionalism."
780,lex scripta,written law,Statute law. Contrasted with lex non scripta.
781,lex talionis,the law of retaliation,Retributive justice (cf. an eye for an eye).
782,lex tempus,time is the law,Name of musical composition by popular Maltese electronic music artist Ray Buttigieg
783,libera te tutemet (ex inferis),Free yourself (from hell),"Used in the movie Event Horizon (1997), where it is translated as ""save yourself (from hell)"". It is initially misheard as liberate me (free me), but is later corrected. Libera te is often mistakenly merged into liberate, which would necessitate a plural pronoun instead of the singular tutemet (which is an emphatic form of tu, you)."
784,Libertas Justitia Veritas,Liberty Justice Truth,Motto of the Korea University.
785,Libertas Quae Sera Tamen,freedom which [is] however late,"Thus, ""liberty even when it comes late"". Motto of Minas Gerais, Brazil."
786,libra (lb),scales,"Literally ""balance"". Its abbreviation, lb, is used as a unit of weight, the pound."
787,loco citato (lc),in the place cited,More fully written in loco citato. See also opere citato.
788,locus classicus,a classic place,The most typical or classic case of something; quotation which most typifies its use.
789,locus deperditus,place of (irremediable) loss,"Used in philology to indicate that subsequent mistakes in the tradition of the text have made a passage so corrupted as to discourage any attempt of correction. The passage is marked by a crux desperationis (""?""). Somehow close in meaning to the modern English expression lost in translation."
790,locus minoris resistentiae,place of less resistance,"A medical term to describe a location on or in a body that offers little resistance to infection, damage, or injury. For example, a weakened place that tends to be reinjured."
791,lorem ipsum,"sorrow itself, pain for its own sake","A mangled fragment from Cicero's De Finibus Bonorum et Malorum (On the Limits of Good and Evil, 45 BC), used as typographer's filler to show fonts (a.k.a. greeking). An approximate literal translation of lorem ipsum might be ""sorrow itself"", as the term is from dolorum ipsum quia, meaning ""sorrow because of itself"", or less literally, ""pain for its own sake""."
792,luceat lux vestra,Let your light shine,May be found in Matthew Ch. 5 V. 16. Popular as a school motto.
793,lucem sequimur,We follow the light,"Motto of the University of Exeter, United Kingdom"
794,luctor et emergo,I struggle and emerge,"Motto of both the Dutch province of Zeeland to denote its battle against the sea, and the Athol Murray College of Notre Dame in Wilcox, Saskatchewan. "
795,lucus a non lucendo,[it is] a grove by not being light,"From late 4th-century grammarian Honoratus Maurus, who sought to mock implausible word origins such as those proposed by Priscian. A pun based on the word lucus (dark grove) having a similar appearance to the verb lucere (to shine), arguing that the former word is derived from the latter word because of a lack of light in wooded groves. Often used as an example of absurd etymology."
796,lupus in fabula,the wolf in the story,"With the meaning ""speak of the wolf, and he will come"". Occurs in Terence's play Adelphoe."
797,lupus non mordet lupum,a wolf does not bite a wolf,
798,lux et lex,light and law,"Motto of the liberal arts school, Franklin & Marshall College. Light in reference to Benjamin Franklin's many innovations and discoveries. Law in reference to John Marshall as one of the most notable Supreme Court Justices."
799,lux et veritas,light and truth,"A translation of the Hebrew Urim and Thummim. Motto of Yale University and Indiana University. An expanded form, lux et veritas floreant (let light and truth flourish), is the motto of the University of Winnipeg"
800,lux ex tenebris,light from darkness,"Motto of the 67th Network Warfare Wing, a unit within the United States Air Force."
801,lux hominum vita,life the light of men,Motto of the University of New Mexico
802,lux in Domino,light in the Lord,Motto of the Ateneo de Manila University
803,lux libertas,"light, liberty",Motto of the University of North Carolina at Chapel Hill
804,lux mentis lux orbis,"Light of the mind, light of the world",Motto of Sonoma State University
805,lux sit,let there be light,"A more literal Latinization of the phrase ""let there be light"", the most common translation of fiat lux (""let light arise"", literally ""let light be made""), which in turn is the Latin Vulgate Bible phrase chosen for the Genesis line (And God said: 'Let there be light.' And there was light). Motto of the University of Washington."
806,lux tua nos ducat,Your Light Guides Us,"Motto of St. Julian's School, Carcavelos, Portugal11"
807,magister dixit,the teacher has said it,"Canonical medieval reference to Aristotle, precluding further discussion"
808,Magna Carta,Great Charter,"A set of documents between Pope Innocent III, King John of England, and English barons."
809,magna cum laude,with great praise,"A common Latin honor, above cum laude and below summa cum laude."
810,Magna Europa est Patria Nostra,Great Europe is Our Fatherland,Political motto of pan-Europeanists (cf. ave Europa nostra vera Patria)
811,magna est vis consuetudinis,great is the power of habit,
812,magno cum gaudio,with great joy,
813,magnum opus,great work,Said of someone's masterpiece
814,maiora premunt,greater things are pressing,"Used to indicate that it is the moment to address more important, urgent, issues."
815,mala fide,in bad faith,"Said of an act done with knowledge of its illegality, or with intention to defraud or mislead someone. Opposite of bona fide."
816,mala tempora currunt,bad times are upon us,"Also used ironically, e.g.: New teachers know all tricks used by pupils to copy from classmates? Oh, mala tempora currunt!."
817,male captus bene detentus,"wrongly captured, properly detained",An illegal arrest will not prejudice the subsequent detention/trial.
818,Malo periculosam libertatem quam quietum servitium,I prefer liberty with danger to peace with sl,
819,malum discordiae,apple of discord,"Alludes to the apple of Eris in the Judgement of Paris, the mythological cause of the Trojan War. It is also a pun based on the near-homonymous word malum (evil). The word for ""apple"" has a long ? vowel in Latin and the word for ""evil"" a short a vowel, but they are normally written the same."
820,malum quo communius eo peius,"the more common an evil is, the worse it is",
821,malum in se,wrong in itself,A legal term meaning that something is inherently wrong (cf. malum prohibitum).
822,malum prohibitum,wrong due to being prohibited,A legal term meaning that something is only wrong because it is against the law.
823,manu militari,with a military hand,Using armed forces in order to achieve a goal
824,manu propria (m.p.),with one's own hand,"With the implication of ""signed by one's hand"". Its abbreviated form is sometimes used at the end of typewritten or printed documents or official notices, directly following the name of the person(s) who ""signed"" the document exactly in those cases where there isn't an actual handwritten signature."
825,manus celer Dei,the swift hand of God,"Originally used as the name of a ship in the Marathon game series, its usage has spread. In the PlayStation game, Blood Omen: Legacy of Kain, the phrase was written in blood on the walls of a vampire's feeding room. It is assumed that one of the dying victims wrote it with his fingers. After the game's main character surveys the bloody room, associative logic dictates that the phrase was to deify both the vampire's wrath on shackled, powerless humans and the boundless slaughter of his victims."
826,manus manum lavat,one hand washes the other,"famous quote from The Pumpkinification of Claudius, ascribed to Seneca the Younger.12 It implies that one situation helps the other."
827,mare clausum,closed sea,"In law, a sea under the jurisdiction of one nation and closed to all others."
828,mare liberum,free sea,"In law, a sea open to international shipping navigation."
829,mare nostrum,our sea,"A nickname given to the Mediterranean Sea during the height of the Roman Empire, as it encompassed the entire coastal basin."
830,Mater Dei,Mother of God,"A name given to describe the Virgin Mary, who gave birth to Jesus, who is also called the ""Son of God."""
831,Mater Facit,Mother Does It,"Used as a joke to say Mother Fuck It, though it really means ""mother does it"""
832,Mater semper certa est,The mother is always certain,"a Roman-law principle which has the power of praesumptio iuris et de iure, meaning that no counter-evidence can be made against this principle (literally: Presumed there is no counter evidence and by the law). Its meaning is that the mother of the child is always known."
833,mater familias,the mother of the family,The female head of a family. See pater familias.
834,materia medica,medical matter,"The branch of medical science concerned with the study of drugs used in the treatment of disease. Also, the drugs themselves."
835,me vexat pede,it annoys me at the foot,"Less literally, ""my foot itches"". Refers to a trivial situation or person that is being a bother, possibly in the sense of wishing to kick that thing away."
836,Mea Culpa,My Fault,"Used in Christian prayers and confession to denote the inherently flawed nature of mankind. Can also be extended to mea maxima culpa (my greatest fault). Analogous to the nonstandard modern English slang ""my bad""."
837,Mea navis a?ricumbens anguillis abundat,My hovercraft is full of eels,A relatively common recent Latinization inspired by the Dirty Hungarian Phrasebook sketch by Monty Python.
838,Media vita in morte sumus,In the midst of our lives we die,"A well-known sequence, falsely attributed to Notker during the Middle Ages. It was translated by Cranmer and became a part of the burial service in the funeral rites of the Anglican Book of Common Prayer."
839,Mediolanum captum est,Milan has been captured,"Used erroneously as Mediolanum Capta Est by the black metal band Mayhem as an album title. Mediolanum was an ancient city in present-day Milan, Italy."
840,meliora,better things,"Carrying the connotation of ""always better"". The motto of the University of Rochester."
841,"Melita, domi adsum","Honey, I'm home!","A relatively common recent Latinization from the joke phrasebook Latin for All Occasions. Grammatically correct, but the phrase would be anachronistic in ancient Rome."
842,memento mori,remember that [you will] die,"Figuratively ""be mindful of dying"" or ""remember your mortality"", and also more literally rendered as ""remember to die"", though in English this ironically misses the original intent. An object (such as a skull) or phrase intended to remind people of the inevitability of death. A more common theme in Christian than in Classical art. The motto of the Trappist order."
843,memento vivere,a reminder of life,"Also, ""remember that you have to live."" Literally rendered as ""remember to live."""
844,memores acti prudentes futuri,"mindful of what has been done, aware of what ","Thus, both remembering the past and foreseeing the future. From the North Hertfordshire District Council coat of arms."
845,mens agitat molem,the mind moves the mass,"From Virgil. Motto of Rossall School, the University of Oregon, the University of Warwick and the Eindhoven University of Technology."
846,mens et manus,mind and hand,Motto of the Massachusetts Institute of Technology.
847,mens rea,guilty mind,"Also ""culprit mind"". A term used in discussing the mindset of an accused criminal."
848,mens sana in corpore sano,a sound mind in a sound body,"Or ""a sensible mind in a healthy body""."
849,meminerunt omnia amantes,lovers remember all,
850,metri causa,for the sake of the meter,"Excusing flaws in poetry ""for the sake of the meter"""
851,Miles Gloriosus,Glorious Soldier,"Or ""Boastful Soldier"". Miles Gloriosus is the title of a play of Plautus. A stock character in comedy, the braggart soldier. (It is said that at Salamanca, there is a wall, on which graduates inscribe their names, where Francisco Franco had a plaque installed reading FRANCISCUS FRANCUS MILES GLORIOSUS.)"
852,minatur innocentibus qui parcit nocentibus,he threatens the innocent who spares the guil,
853,mirabile dictu,wonderful to tell,
854,mirabile visu,wonderful by the sight,A Roman phrase used to describe a wonderful event/happening.
855,miscerique probat populos et foedera jungi,He approves of the mingling of the peoples an,"Latin Aeneid of Virgil, Book IV, line 112, ""he"" referring to the great Roman god, who approved of the settlement of Romans in Africa. Old Motto of Trinidad and Tobago, and used in the novel A Bend in the River by V. S. Naipaul."
856,miserabile visu,terrible by the sight,A terrible happening or event.
857,miserere nobis,have mercy upon us,"A phrase within the Gloria in Excelsis Deo and the Agnus Dei, to be used at certain points in Christian religious ceremonies."
858,missit me Dominus,the Lord has sent me,A phrase used by Jesus Christ.
859,mittimus,we send,"A warrant of commitment to prison, or an instruction for a jailer to hold someone in prison."
860,mobilis in mobili,"moving in a moving thing"" or, poetically, ""ch",The motto of the Nautilus from the Jules Verne novel 20000 Leagues Under the Sea. 
861,,,
862,,,oBOO
863,modus operandi (M.O.),method of operating,Usually used to describe a criminal's methods.
864,modus ponens,method of placing,"Loosely ""method of affirming"", a logical rule of inference stating that from propositions if P then Q and P, then one can conclude Q."
865,modus tollens,method of removing,"Loosely ""method of denying"", a logical rule of inference stating that from propositions if P then Q and not Q, then one can conclude not P."
866,modus morons,?,"Dog Latin based on wordplay with modus ponens and modus tollens, referring to the common logical fallacy that if P then Q and not P, then one can conclude not Q (cf. denying the antecedent and contraposition)."
867,(Dog Latin),,
868,modus vivendi,method of living,An accommodation between disagreeing parties to allow life to go on. A practical compromise.
869,montaini semper liberi,mountaineers [are] always free,"State motto of West Virginia, adopted in 1872."
870,Montis Insignia Calpe,Badge of the Rock of Gibraltar,
871,mortui vivos docent,(Let the) dead teach the living,Used to justify dissections of human cadavers in order to understand the cause of death.
872,more ferarum,like beasts,used to describe any sexual act in the manner of beasts
873,morituri nolumus mori,we who are about to die don't want to,From Terry Pratchett's The Last Hero
874,morituri te salutant,those who are about to die salute you,"Used once in Suetonius' De Vita Caesarum 5, (Divus Claudius), chapter 2113, by the condemned prisoners manning galleys about to take part in a mock naval battle on Lake Fucinus in AD 52. Popular misconception ascribes it as a gladiator's salute. See also: Ave Caesar morituri te salutant and Naumachia."
875,"mors certa, hora incerta","death is certain, its hour is uncertain",
876,mors tua vita mea,"your death, my life","From medieval Latin, it indicates that battle for survival, where your defeat is necessary for my victory, survival."
877,mors vincit omnia,"death conquers all"" or ""death always wins",An axiom often found on headstones.
878,mortuum flagellas,you are flogging a dead,From Gerhard Gerhards' (1466-1536) [better known as Erasmus] collection of annotated Adagia (1508). Criticising one who will not be affected in any way by the criticism.
879,mos maiorum,the custom of our ancestors,"an unwritten code of laws and conduct, of the Romans. It institutionalized cultural traditions, societal mores, and general policies, as distinct from specific laws."
880,motu proprio,on his own initiative,"Or ""by his own accord."" Identifies a class of papal documents, administrative papal bulls."
881,mulgere hircum,to milk a male goat,From Gerhard Gerhards' (1466-1536) [better known as Erasmus] collection of annotated Adagia (1508). Attempting the impossible.
882,multa paucis,Say much in few words,
883,multis e gentibus vires,"from many peoples, strength",Motto of Saskatchewan.
884,multum in parvo,much in little,"Conciseness. The motto of Rutland, a county in central England."
885,,,
886,,,"Latin phrases are often multum in parvo, conveying much in few words."
887,mundus vult decipi,the world wants to be deceived,From James Branch Cabell.
888,munit haec et altera vincit,this one defends and the other one conquers,Motto of Nova Scotia.
889,mutatis mutandis,with those things changed which needed to be ,"Thus, ""with the appropriate changes""."
890,"nasciturus pro iam nato habetur, quotiens de commodis eius agitur",The unborn is deemed to have been born to the,Refers to a situation where an unborn child is deemed to be entitled to certain inheritance rights.
891,natura abhorret a vacuo,nature abhors a vacuum,
892,natura non contristatur,nature is not saddened,"That is, the natural world is not sentimental or compassionate."
893,natura non facit saltum ita nec lex,"nature does not make a leap, thus neither doe","Shortened form of ""sicut natura nil facit per saltum ita nec lex"" (just as nature does nothing by a leap, so neither does the law), referring to both nature and the legal system moving gradually."
894,natura non facit saltus,nature makes no leaps,"A famous aphorism of Linnaeus stating that all organisms bear relationships on all sides, their forms changing gradually from one species to the next. From Philosophia Botanica."
895,naturalia non sunt turpia,What is natural is not dirty.,"Based on Servius' commentary on Virgil's Georgics (3:96): ""turpis non est quia per naturam venit."""
896,"naturam expellas furca, tamen usque recurret.","You may drive out Nature with a pitchfork, ye",You must take the basic nature of something into account.
897,,,"- Horace, Epistles, Book I, epistle iv, line 24."
898,navigare necesse est vivere non est necesse,to sail is necessary; to live is not necessar,"Attributed by Plutarch to Gnaeus Pompeius, who, during a severe storm, commanded sailors to bring food from Africa to Rome."
899,ne plus ultra,nothing more beyond,"Also nec plus ultra or non plus ultra. A descriptive phrase meaning the best or most extreme example of something. The Pillars of Hercules, for example, were literally the nec plus ultra of the ancient Mediterranean world. Charles V's heraldic emblem reversed this idea, using a depiction of this phrase inscribed on the Pillars?as plus ultra, without the negation. This represented Spain's expansion into the New World."
900,ne sutor ultra crepidam,"Cobbler, no further than the sandal!","Thus, don't offer your opinion on things that are outside your competence. It is said that the Greek painter Apelles once asked the advice of a cobbler on how to render the sandals of a soldier he was painting. When the cobbler started offering advice on other parts of the painting, Apelles rebuked him with this phrase in Greek, and it subsequently became a popular Latin expression."
901,"nec dextrorsum, nec sinistrorsum",Neither to the right nor to the left,"Do not get distracted. This Latin phrase is also the motto for Bishop Cotton Boys School and the Bishop Cotton Girls High school, both located in Bangalore, India."
902,"nec spe, nec metu","without hope, without fear",
903,nec tamen consumebatur,and yet it was not consumed,"Refers to the Burning Bush of Exodus 3:2. Motto of many Presbyterian churches throughout the world, including Australia."
904,nec temere nec timide,neither reckless nor timid,The motto of the Dutch 11th air manoeuvre brigade 11 Luchtmobiele Brigade
905,"neca eos omnes, deus suos agnoscet","kill them all, god will know his own.","said by Arnaud Amaury, the Abbot of Citeaux, the Papal Legate. Recorded by a monk who was present at the time. The Abbot had been asked by the military commander of the crusade, the Earl of Leicester, how best to deal with the heretics and this is how he replied. The phrase has been adapted to ""Kill them all, let God sort 'em out"" and is a commonly used military proverb to this day."
906,nemine contradicente (nem. con.),with no one speaking against,"Less literally, ""without dissent"". Used especially in committees, where a matter may be passed nem. con., or unanimously."
907,nemo dat quod non habet,no one gives what he does not have,"Thus, ""none can pass better title than they have""."
908,nemo est supra legis,nobody is above the law,
909,nemo iudex in sua causa,no man shall be a judge in his own cause,Legal principle that no individual can preside over a hearing in which he holds a specific interest or bias.
910,nemo malus felix,peace visits not the guilty mind,"Also translated to ""no peace for the wicked."" Refers to the inherent psychological issues that plague bad/guilty people."
911,nemo me impune lacessit,no one provokes me with impunity,"Motto of the Order of the Thistle, and consequently of Scotland, found stamped on the milled edge of certain British pound sterling coins. It is also the motto of the Montressors in the Edgar Allan Poe short story ""The Cask of Amontillado"""
912,nemo mortalium omnibus horis sapit,No mortal is wise at all times,The wisest may make mistakes.
913,nemo nisi per amicitiam cognoscitur,No one learns except by friendship,Used to imply that one must like a subject in order to study it.
914,nemo saltat sobrius,Nobody dances sober,"The short and more common form of ""Nemo enim fere saltat sobrius, nisi forte insanit"", ""Nobody dances sober, unless he is completely insane."""
915,nemo tenetur seipsum accusare,no one is bound to accuse himself,"A maxim banning mandatory self-incrimination. Near-synonymous with accusare nemo se debet nisi coram Deo. Similar phrases include: nemo tenetur armare adversarium contra se (no one is bound to arm an opponent against himself), meaning that a defendant is not obligated to in any way assist the prosecutor to his own detriment; nemo tenetur edere instrumenta contra se (no one is bound to produce documents against himself, meaning that a defendant is not obligated to provide materials to be used against himself (this is true in Roman law and has survived in modern criminal law, but no longer applies in modern civil law); and nemo tenere prodere seipsum (no one is bound to betray himself), meaning that a defendant is not obligated to testify against himself."
916,"nervos belli, pecuniam infinitam",Endless money forms the sinews of war,"In war, it is essential to be able to purchase supplies and to pay troops (as Napoleon put it, ""An army marches on its stomach"")."
917,nihil ad rem,nothing to do with the point,"That is, in law, irrelevant and / or inconsequential."
918,nihil dicit,he says nothing,"In law, a declination by a defendant to answer charges or put in a plea."
919,nihil novi,nothing of the new,"Or just ""nothing new"". The phrase exists in two versions: as nihil novi sub sole (nothing new under the sun), from the Vulgate, and as nihil novi nisi commune consensu (nothing new unless by the common consensus), a 1505 law of the Polish-Lithuanian Commonwealth and one of the cornerstones of its Golden Liberty."
920,nihil obstat,nothing prevents,"A notation, usually on a title page, indicating that a Roman Catholic censor has reviewed the book and found nothing objectionable to faith or morals in its content. See also imprimatur."
921,Nihil sine Deo,Nothing without God,"The motto of the Kingdom of Romania, while ruled by the Hohenzollern-Sigmaringen dynasty (1878?1947)."
922,nil admirari,be surprised at nothing,"Motto of the Fitzgibbon family. See John FitzGibbon, 1st Earl of Clare"
923,nil desperandum,nothing must be despaired at,"That is, ""never despair""."
924,nil nisi bonum,(about the dead say) nothing unless (it is) g,"Short for nil nisi bonum de mortuis dicere. That is, ""Don't speak ill of anyone who has died"". Also ""Nil magnum nisi bonum"" (nothing is great unless good), motto of St Catherine's School, Toorak."
925,nil nisi malis terrori,"no terror, except to the bad","The motto of King's School, Macclesfield."
926,nil per os (n.p.o.),nothing through the mouth,Medical shorthand indicating that oral foods and fluids should be withheld from the patient.
927,nil satis nisi optimum,nothing [is] enough unless [it is] the best,"Motto of Everton Football Club, residents of Goodison Park, Liverpool."
928,nil sine labore,nothing without labour,"Motto of Brisbane Grammar School , Brisbane Girls Grammar School and Victoria School"
929,nil sine numine,nothing without the divine will,"Or ""nothing without providence"". State motto of Colorado, adopted in 1861. Probably derived from Virgil's Aeneid Book II, line 777, ""non haec sine numine devum eveniunt"" (these things do not come to pass without the will of the gods). See also numina."
930,nil volentibus arduum,Nothing [is] arduous for the willing,Nothing is impossible for the willing
931,nisi Dominus frustra,"if not the Lord, [it is] in vain","That is, ""everything is in vain without God"". Summarized from Psalm 127, ""nisi Dominus aedificaverit domum in vanum laboraverunt qui aedificant eam nisi Dominus custodierit civitatem frustra vigilavit qui custodit"" (unless the Lord builds the house, they work on a useless thing who build it; unless the Lord guards the community, he keeps watch in vain who guards it). The motto of Edinburgh."
932,nisi prius,unless previously,"In England, a direction that a case be brought up to Westminster for trial before a single judge and jury. In the United States, a court where civil actions are tried by a single judge sitting with a jury, as distinguished from an appellate court."
933,nolens volens,"unwilling, willing","That is, ""whether unwillingly or willingly"". Sometimes rendered volens nolens, aut nolens aut volens or nolentis volentis. Similar to willy-nilly, though that word is derived from Old English will-he nil-he ([whether] he will or [whether] he will not)."
934,noli me tangere,do not touch me,"Commonly translated ""touch me not"". According to the Gospel of John, this was said by Jesus to Mary Magdalene after his resurrection."
935,noli turbare circulos meos,Do not disturb my circles!,"That is, ""Don't upset my calculations!"" Said by Archimedes to a Roman soldier who, despite having been given orders not to, killed Archimedes at the conquest of Syracuse. The soldier was executed for his act."
936,nolite te bastardes carborundorum,"""Don't let the bastards grind you down",From The Handmaid's Tale by Margaret Atwood ? the protagonist (Offred) finds the phrase inscribed on the inside of her wardrobe. One of many variants of Illegitimi non carborundum.
937,(Dog Latin),,
938,nolle prosequi,to be unwilling to prosecute,"A legal motion by a prosecutor or other plaintiff to drop legal charges, usually in exchange for a diversion program or out-of-court settlement."
939,nolo contendere,I do not wish to contend,"That is, ""no contest"". A plea that can be entered on behalf of a defendant in a court that states that the accused doesn't admit guilt, but will accept punishment for a crime. Nolo contendere pleas cannot be used as evidence in another trial."
940,nomen dubium,doubtful name,A scientific name of unknown or doubtful application.
941,nomen est omen,the name is a sign,"Thus, ""true to its name""."
942,nomen nescio (N.N.),I do not know the name,"Thus, the name or person in question is unknown."
943,nomen nudum,naked name,A purported scientific name that does not fulfill the proper formal criteria and therefore cannot be used unless it is subsequently proposed correctly.
944,non bis in idem,not twice in the same thing,A legal principle forbidding double jeopardy.
945,non causa pro causa,not the cause for the cause,"Also known as the ""questionable cause"" or ""false cause"". Refers to any logical fallacy where a cause is incorrectly identified."
946,non compos mentis,not in control of the mind,"See compos mentis. Also rendered non compos sui (not in control of himself). Samuel Johnson, author of the first English dictionary, theorized that the word nincompoop may derive from this phrase."
947,"Non ducor, duco",I am not led; I lead,"Motto of S?o Paulo city, Brazil. See also pro Brasilia fiant eximia."
948,non constat,it is not certain,"Used to explain scientific phenomena and religious advocations, for example in medieval history, for rulers to issue a 'Non Constat' decree, banning the worship of a holy figure. In legal context, occasionally a backing for nulling information that was presented by an attorney. Without any tangible proof, Non constat information is difficult to argue for."
949,non facias malum ut inde fiat bonum,you should not make evil in order that good m,"More simply, ""don't do wrong to do right"". The direct opposite of the phrase ""the ends justify the means""."
950,non impediti ratione congitatonis,unencumbered by the thought process,Motto of radio show Car Talk.
951,non in legendo sed in intelligendo legis consistunt,"the laws depend not on being read, but on bei",
952,non liquet,it is not proven,"Also ""it is not clear"" or ""it is not evident"". A sometimes controversial decision handed down by a judge when they feel that the law is not complete."
953,non mihi solum,not for myself alone,"Motto of Anderson Junior College, Singapore."
954,non nobis solum,not for ourselves alone,"Appears in Cicero's De Officiis Book 1:22 in the form non nobis solum nati sumus (we are not born for ourselves alone). Motto of Lower Canada College, Montreal."
955,non obstante veredicto,not standing in the way of a verdict,"A judgment notwithstanding verdict, a legal motion asking the court to reverse the jury's verdict on the grounds that the jury could not have reached such a verdict reasonably."
956,non olet,it doesn't smell,See pecunia non olet.
957,non omnis moriar,I shall not all die,"""Not all of me will die"", a phrase expressing the belief that a part of the speaker will survive beyond death."
958,non plus ultra,nothing further beyond,the ultimate
959,non possumus,not possible,
960,non progredi est regredi,to not go forward is to go backward,
961,non prosequitur,he does not proceed,A judgment in favor of a defendant when the plaintiff failed to take the necessary steps in an action within the time allowed.
962,non scholae sed vitae discimus,"We learn not for school, but for life.","from Seneca. Also, motto of the Istanbul Bilgi University."
963,non quis sed quid,not who but what,"Used in the sense ""what matters is not who says it but what he says"" ? a warning against ad hominem arguments. Also, motto of Southwestern University."
964,non sequitur,it does not follow,"In general, a non sequitur is a comment which is absurd due to not making sense in its context (rather than due to being inherently nonsensical or internally inconsistent), often used in humor. As a logical fallacy, a non sequitur is a conclusion that does not follow from a premise."
965,non serviam,I will not serve,"Possibly derived from a Vulgate mistranslation of the Book of Jeremiah. Commonly used in literature as Satan's statement of disobedience to God, though in the original context the quote is attributed to Israel, not Satan."
966,non sibi,Not for self.,A slogan used by many schools and universities.
967,"non sibi, sed suis",Not for one's self but for one's own.,A slogan used by many schools and universities. Including Tulane University.
968,"Non sibi, sed patria","Not for self, but for Country.",Motto of the USS Halyburton (FFG-40)
969,"Non silba, sed anthar; Deo vindice","Not for self, but for others; God will vindic",A slogan used by the Ku Klux Klan.
970,non sum qualis eram,I am not such as I was,"Or ""I am not the kind of person I once was"". Expresses a change in the speaker."
971,non teneas aurum totum quod splendet ut aurum,Do not hold as gold all that shines as gold.,"Also, ""All that glitters is not gold."" Parabolae. Also used by Shakespeare in The Merchant of Venice"
972,non timebo mala,I will fear no evil,"This is the phrase printed on the Colt, in Supernatural."
973,"non vi, sed verbo","Not through violence, but through the word al",Martin Luther on Catholic church reform. (see Protestant Reformation)
974,nosce te ipsum,know thyself,"From Cicero, based on the Greek ????? ??????? (gnothi seauton), inscribed on the Temple of Apollo at Delphi. A non-traditional Latin rendering, temet nosce (thine own self know), is translated in The Matrix as ""know thyself""."
975,nosus decipio,we cheat,"As translated in Amazing Grace (2006 film), ""we cheat."" From verb decipere: to ensnare, trap, beguile, deceive, cheat."
976,noster nostri,"Literally ""Our ours""","Approximately ""Our hearts beat as one."""
977,nota bene (n.b.),mark well,"That is, ""please note"" or ""note it well""."
978,Novus Ordo Seclorum,New Order of the Ages,From Virgil. Motto on the Great Seal of the United States. Similar to Novus Ordo Mundi (New world order).
979,nulla dies sine linea,Not a day without a line drawn.,"Pliny the Elder attributes this maxim to Apelles, an ancient Greek artist."
980,nulla poena sine lege,no penalty without a law,"Refers to the legal principle that one cannot be punished for doing something that is not prohibited by law, and is related to Nullum crimen, nulla poena sine praevia lege poenali."
981,Nulla tenaci invia est via,"For the tenacious, no road is impassable.",Motto of the Dutch car builder Spyker.
982,nullam rem natam,no thing born,"That is, ""nothing"". It has been theorized that this expression is the origin of Italian nulla, French rien, and Spanish and Portuguese nada, all with the same meaning."
983,nulli secundus,second to none,Motto of the Coldstream Guardsand Nine Squadron Royal Australian Corps of Transport.
984,nullius in verba,On the word of no man,Motto of the Royal Society.
985,"nullum crimen, nulla poena sine lege","no crime, no punishment without law","Legal principle meaning that one cannot be penalised for doing something that is not prohibited by law. It also means that penal law cannot be enacted retroactively. See also Nullum crimen et nulla poena sine lege and Nullum crimen, nulla poena sine praevia lege poenali"
986,nullum magnum ingenium sine mixtura dementiae fuit,There has been no great wisdom without an ele,
987,numerus clausus,closed number,A method to limit the number of students who may study at a university.
988,nunc dimittis,now you are sending away,"In the Gospel of Luke, spoken by Simeon while holding the baby Jesus when he felt he was ready to be dismissed into the afterlife (he had seen the light). Often used in the same way the phrase Eureka is used, as a jubilant exclamation of revelation."
